dep,NB_total,NB,NB2,NB3,PrixMoyen,PrixMoyen2,PrixMoyen3,depmoyen,depmoyen2,depmoyen3
1,286,36,114,39,542.91669,500,572,352.43057,316.66666,376.66666
2,208,17,107,29,541.17645,500,545,350.98038,316.66666,354.16666
3,148,14,67,19,525.71429,496.26865,528.63159,338.09525,313.55719,340.52634
4,79,2,42,6,550,496.19049,558.33331,358.33334,313.49207,365.27777
5,82,1,34,6,550,500,626.66669,358.33334,316.66666,422.22223
6,987,67,345,97,536.86566,497.69452,580.44843,347.38806,314.74542,383.70703
7,146,14,67,16,535,500,549.53125,345.83334,316.66666,357.94272
8,99,6,64,13,507.5,500,525.76923,322.91666,316.66666,338.14102
9,81,8,45,9,535,499.78262,505.55554,345.83334,316.48553,321.2963
10,129,9,65,23,527.77777,500,550.34784,339.81482,316.66666,358.6232
11,210,23,98,30,518.91302,497.77777,513.83331,332.42752,314.81482,328.19443
12,141,9,82,17,519.88892,499.7561,532.76471,333.24075,316.46341,343.97058
13,1448,68,559,95,534.70587,499.07144,551.32947,345.58823,315.89288,359.44122
14,258,23,96,32,539.56525,500,549.59375,349.6377,316.66666,357.99478
15,58,6,32,6,508.33334,497.8125,494.16666,323.61111,314.84375,311.80554
16,132,14,56,14,520.71429,498.92856,522.14288,333.92859,315.7738,335.11908
17,363,23,153,51,534.78259,499.28104,555.41174,345.65216,316.06754,362.84311
18,108,8,50,16,543.75,498.89999,555.3125,353.125,315.75,362.76041
19,114,7,53,10,522.85712,498.45282,515,335.71426,315.37735,329.16666
21,256,25,122,36,535,500,587.11108,345.83334,316.66666,389.25925
22,289,22,135,23,517.72729,499.40741,532.17389,331.43942,316.17285,343.47824
23,33,7,13,6,524.28571,500,550,336.90475,316.66666,358.33334
24,182,24,87,32,535.41669,499.41953,554.23438,346.18057,316.18292,361.86197
25,260,20,126,36,542,499.68253,551.0611,351.66666,316.4021,359.21759
26,286,24,145,34,542.91669,500,537.11426,352.43057,316.66666,347.59521
27,175,19,79,21,544.73682,500,579.7619,353.94736,316.66666,383.13492
28,137,22,52,18,545,500,584.16669,354.16666,316.66666,386.80557
29,504,32,236,43,531.875,499.83124,543.27905,343.22916,316.52603,352.73254
30,429,30,198,52,532.5,499.40607,546.83655,343.75,316.17172,355.69711
31,1159,82,470,155,524.56097,499.26199,539.76282,337.13416,316.05167,349.80234
32,96,6,43,17,513.33331,500,530,327.77777,316.66666,341.66666
33,1054,72,382,107,532.40002,499.86945,536.12152,343.66669,316.55786,346.76794
34,820,49,364,78,533.40002,499.32877,548.38464,344.50003,316.1073,356.98721
35,606,32,189,45,521.62811,499.55554,527.64447,334.69009,316.2963,339.70374
36,64,6,41,5,550,499.7561,530,358.33334,316.46341,341.66666
37,255,24,98,31,542.70831,500,554.8161,352.25693,316.66666,362.34674
38,622,86,211,87,545.69769,499.71564,586.51953,354.74808,316.42969,388.76627
39,95,11,43,13,529.09088,500,527.01538,340.90906,316.66666,339.17947
40,254,16,122,31,526.25,498.85245,514.33551,338.54166,315.71039,328.61292
41,112,20,49,10,545,500,560.5,354.16666,316.66666,367.08334
42,308,31,130,38,526.12903,500,541.6842,338.44086,316.66666,351.4035
43,102,8,57,6,521.25,499.64911,483.75,334.375,316.37427,303.125
44,817,29,300,41,524.48279,499.47018,532.81219,337.069,316.22516,344.01016
45,249,30,87,43,545.33331,499.03409,586.7442,354.44443,315.86176,388.95349
46,86,8,47,9,536.25,500,531,346.875,316.66666,342.5
47,128,14,68,18,526.78571,498.97058,519.16669,338.9881,315.80881,332.63892
48,28,1,19,3,500,500,544.66669,316.66666,316.66666,353.88892
49,354,18,150,31,527.22223,498.96667,531.19354,339.35187,315.80557,342.66129
50,177,15,88,12,546.33331,499.20456,546.41669,355.27777,316.00378,355.34723
51,304,19,132,44,539.47369,499.99243,565.51135,349.5614,316.66037,371.25946
52,60,12,28,10,549.16669,500,584.79999,357.63892,316.66666,387.33331
53,92,9,46,5,544.44446,499.78262,532,353.7037,316.48553,343.33334
54,446,29,187,47,528.96552,499.94681,546.51062,340.8046,316.62234,355.42551
55,61,4,26,13,550,500,522.30768,358.33334,316.66666,335.25641
56,425,26,192,37,528.5,498.56772,540.51349,340.41666,315.47308,350.42792
57,560,84,207,90,538.9762,499.61353,548.59442,349.14682,316.3446,357.16202
58,86,9,52,9,520.40002,500,502.66666,333.66669,316.66666,318.88889
59,1251,51,519,85,537.05884,498.95193,558.63721,347.54904,315.79327,365.53101
60,278,43,110,58,547.67444,500,589.38477,356.39536,316.66666,391.15396
61,83,7,37,12,534.28571,499.94595,559.875,345.2381,316.62164,366.5625
62,591,29,274,43,529.31036,499.34308,546.34882,341.09198,316.11923,355.29068
63,395,30,199,45,526.96667,499.75247,525.48889,339.13889,316.46039,337.90741
64,509,31,231,56,520.32257,498.89008,524.27679,333.60214,315.74173,336.89734
65,157,11,84,10,530,498.57144,515.90002,341.66666,315.4762,329.91669
66,285,21,150,33,526.19049,499.06668,532.12122,338.49207,315.88892,343.43436
67,812,57,282,94,534.29822,499.54227,543.45215,345.2485,316.28522,352.8768
68,410,43,146,47,535.81396,498.63947,546.383,346.51163,315.5329,355.31915
69,1115,101,394,152,545.58826,499.93671,580.20587,354.65689,316.61392,383.50488
70,69,9,34,11,527.77777,500,542.09088,339.81482,316.66666,351.7424
71,215,19,121,33,538.6842,500,542.54547,348.9035,316.66666,352.12122
72,186,24,85,23,533.54169,499.41177,554.56525,344.61807,316.17648,362.1377
73,261,26,90,25,543.46155,498.77777,594.5,352.88461,315.64813,395.41666
74,488,35,158,47,537.14288,500,609.53192,347.61908,316.66666,407.94327
75,1891,114,324,251,545.83331,500.4321,669.09961,354.86108,317.02673,457.58301
76,461,34,187,55,538.52942,499.33511,580.28729,348.77451,316.11261,383.57275
77,575,73,220,92,545.61646,499.90909,571.41846,354.68039,316.59091,376.18204
78,730,76,205,127,546.44739,500,609.62439,355.37283,316.66666,408.02032
79,128,15,57,11,537.33331,500,558.18182,347.77777,316.66666,365.15152
80,166,17,63,21,526.17645,499.84128,551.80951,338.48038,316.53439,359.84125
81,199,24,94,30,515.83331,499.72342,526.91669,329.86108,316.43619,339.09723
82,122,4,64,11,500,499.42188,514.54547,316.66666,316.18491,328.7879
83,738,39,322,69,535.89746,499.66257,573.57971,346.58121,316.38547,377.98309
84,285,21,95,36,525.2381,496.21054,577.94446,337.69843,313.50879,381.62039
85,316,15,154,23,523.33331,499.61038,531.26086,336.11108,316.34198,342.71738
86,169,19,70,17,530.52631,500,537.47058,342.10526,316.66666,347.89215
87,145,16,72,23,534.0625,500,539.34784,345.05209,316.66666,349.45654
88,172,23,84,26,521.78259,500,540.88464,334.81882,316.66666,350.73721
89,98,20,36,14,550,500,583.57141,358.33334,316.66666,386.30951
90,57,5,22,4,550,495.45456,552,358.33334,312.87878,360
91,532,74,170,113,547.7027,498.23529,596.00885,356.41891,315.19608,396.67404
92,993,81,246,196,544.81482,499.96951,641.85968,354.01236,316.64127,434.88306
93,446,41,204,78,545.85364,500,566.33331,354.87802,316.66666,371.94443
94,620,67,224,109,543.73132,499.93304,590.89911,353.10944,316.61087,392.41592
95,482,56,165,111,542.85712,500,586.25677,352.38092,316.66666,388.5473
201,113,3,61,8,543.33331,500,542.5,352.77777,316.66666,352.08334
202,78,3,29,2,550,500,685,358.33334,316.66666,470.83334
0,33362,2707,13214,4057,536.78851,499.44232,569.81006,347.32376,316.20193,374.84171
